Super Strategy Results,as on,19.06.2026,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Stock,ListGroup,RunStartDate,RunEndDate,NumCandles,EntryPrice,ExitPrice,GainPct,CurrentPrice,Target,% Down from Buy,Signal,Market Cap (Cr)
RATNAMANI,Good200,07-May-2026,11-May-2026,3,2759.9,3345,21.2,2770.9,3345,0.4,NEAR BUY,19421.79
SHARDACROP,Good200,13-May-2026,13-May-2026,1,1008.7,1223.7,21.31,900.8,1223.7,-10.7,BUY,8127.06
SHARDAMOTR,Good200,07-Jul-2025,07-Jul-2025,1,1026.4,1248,21.59,825.85,1248,-19.54,BUY,4741.02
SHARDAMOTR,Good200,09-Jul-2024,09-Jul-2024,1,2360.14,2896.97,22.75,825.85,2896.97,-65.01,BUY,4741.02
SHARDAMOTR,Good200,24-Jun-2024,01-Jul-2024,6,1772.08,2569.9,45.02,825.85,2569.9,-53.4,BUY,4741.02
SHARDAMOTR,Good200,30-Jan-2026,04-Feb-2026,4,827.95,1016.7,22.8,825.85,1016.7,-0.25,BUY,4741.02
SIYSIL,Good200,13-Dec-2024,16-Dec-2024,2,821.45,1130.31,37.6,631.6,1130.31,-23.11,BUY,2865.57
SIYSIL,Good200,13-Jan-2025,17-Jan-2025,5,801.96,1000.16,24.71,631.6,1000.16,-21.24,BUY,2865.57
SYMPHONY,Good45,01-Aug-2024,06-Aug-2024,4,1172.7,1454.71,24.05,697.15,1454.71,-40.55,BUY,4787.43
SYNGENE,Super45,30-Apr-2026,30-Apr-2026,1,429.9,518.55,20.62,440.75,518.55,2.52,NEAR BUY,17711.59
TASTYBITE,Good45,07-May-2025,16-May-2025,8,8846.45,10737.11,21.37,8297.5,10737.11,-6.21,BUY,2129.14
TASTYBITE,Good45,16-Aug-2024,22-Aug-2024,5,9847.37,15177.93,54.13,8297.5,15177.93,-15.74,BUY,2129.14
TATAELXSI,Good200,21-Apr-2025,24-Apr-2025,4,4667.55,5770.08,23.62,4065.5,5770.08,-12.9,BUY,25326.87
TATAELXSI,Good200,22-Aug-2024,27-Aug-2024,4,6722.05,8820.26,31.21,4065.5,8820.26,-39.52,BUY,25326.87
TEAMLEASE,Good45,23-Jul-2024,29-Jul-2024,5,2854.65,3478,21.84,1465,3478,-48.68,BUY,2455.94
TIMETECHNO,Good200,11-Oct-2024,16-Oct-2024,4,190.05,230.64,21.36,178.42,230.64,-6.12,BUY,8807.44
TRENT,Good45,07-Aug-2024,20-Aug-2024,9,5263.78,6805.71,29.29,3205.8,6805.71,-39.1,BUY,170943.6
TRITURBINE,Good200,08-Oct-2024,15-Oct-2024,6,647.85,812.3,25.38,672.3,812.3,3.77,NEAR BUY,21372.08
TRITURBINE,Good200,12-Aug-2024,16-Aug-2024,4,670.86,832.61,24.11,672.3,832.61,0.21,NEAR BUY,21372.08
TRITURBINE,Good200,25-Nov-2024,26-Nov-2024,2,686.05,874.61,27.48,672.3,874.61,-2,BUY,21372.08
UJJIVANSFB,Good45,21-Jan-2026,23-Jan-2026,3,56.62,68,20.1,57.27,68,1.15,NEAR BUY,11140.48
VIPIND,Good45,09-Jun-2025,16-Jun-2025,6,341,426.1,24.96,317.5,426.1,-6.89,BUY,4510.15
VIPIND,Good45,09-May-2025,16-May-2025,6,306.2,384,25.41,317.5,384,3.69,NEAR BUY,4510.15
VIPIND,Good45,23-Dec-2025,24-Dec-2025,2,361.75,435,20.25,317.5,435,-12.23,BUY,4510.15
VOLTAMP,Good200,26-Jul-2024,29-Jul-2024,2,11665.61,14414.35,23.56,10237.5,14414.35,-12.24,BUY,10357.4
WAAREERTL,Good200,09-Oct-2025,14-Oct-2025,4,1054,1326.6,25.86,988.05,1326.6,-6.26,BUY,10309.89
WAAREERTL,Good200,15-Jul-2025,16-Jul-2025,2,985,1267.9,28.72,988.05,1267.9,0.31,NEAR BUY,10309.89
WHIRLPOOL,Super45,15-Oct-2025,17-Oct-2025,3,1141.9,1400,22.6,794.95,1400,-30.38,BUY,10089.53
